source,reference,lang,artifacts
"¿Puede usted informarme sobre las tasas de mi cuenta TFSA?","Can you inform me about the rates on my TFSA?","Spanish","1,2,5"
"Je voudrais consulter mon solde au guichet automatique bancaire.","I would like to check my balance at the bank ATM.","French Canadian","1"
"Si deposito $2.350,99 hoy, ¿cuándo estará disponible?","If I deposit $2,350.99 today, when will it be available?","Spanish","7,9,10"
"Pourriez-vous m'expliquer comment fonctionne le CELI?","Could you explain to me how the TFSA works?","French Canadian","1,2,5"
"No puedo ingresar a mi cuenta porque olvidé mi contraseña.","I cannot access my account because I forgot my password.","Spanish","2,8"
"Je n'ai pas compris les frais de découvert sur mon relevé.","I did not understand the overdraft fees on my statement.","French Canadian","6,8"
"¿Cuándo vence mi certificado de inversión garantizado?","When does my guaranteed investment certificate mature?","Spanish","3,6,7"
"Comment puis-je envoyer de l'argent par Interac e-Transfer?","How can I send money by Interac e-Transfer?","French Canadian","1,5"
"Necesito presentar una solicitud para un crédito hipotecario.","I need to submit an application for a mortgage loan.","Spanish","4"
"¿Puede usted decirme el cargo por adelanto en efectivo?","Can you tell me the fee for a cash advance?","Spanish","2,6,10"
"Mon paiement préautorisé a été rejeté hier.","My pre-authorized payment was rejected yesterday.","French Canadian","6,7,8"
"¿Mi préstamo estudiantil está asegurado por la OSAP?","Is my student loan insured by OSAP?","Spanish","5"
"Je veux ouvrir un compte d'épargne à intérêt élevé.","I want to open a high-interest savings account.","French Canadian","3"
"¿Cuál es el límite diario para retiros en cajeros automáticos?","What is the daily limit for ATM withdrawals?","Spanish","1,10"
"Pourriez-vous me transférer $500 à mon autre compte?","Could you transfer $500 to my other account?","French Canadian","2,9"
"Si convierto mi cuenta personal a cuenta conjunta, ¿pierdo beneficios?","If I convert my personal account to a joint account, do I lose benefits?","Spanish","3,7,10"
"¿Dónde puedo encontrar un punto de servicio para depósitos?","Where can I find a service point for deposits?","Spanish","0"
"Je dois changer mon NIP à la succursale.","I must change my PIN at the branch.","French Canadian","1,5"
"¿Puede usted procesar mi pago de tarjeta de crédito?","Can you process my credit card payment?","Spanish","2"
"Quiero retirar $1.800,00 de mi cuenta de ahorros.","I want to withdraw $1,800.00 from my savings account.","Spanish","9"
"Est-ce que je peux transférer mon REER dans un FERR?","Can I transfer my RRSP into a RRIF?","French Canadian","5,6"
"No puedo completar la transacción en la aplicación bancaria.","I cannot complete the transaction in the banking app.","Spanish","4,8"
"¿Cuántas transferencias internacionales puedo hacer por mes?","How many international transfers can I make per month?","Spanish","10"
"Je voudrais ajouter un titulaire sur mon compte conjoint.","I would like to add an account holder to my joint account.","French Canadian","3"
"¿Puede usted congelar mi línea de crédito temporalmente?","Can you freeze my line of credit temporarily?","Spanish","2,6"
"Mon prêt hypothécaire est-il assuré par la SCHL ou non?","Is my mortgage loan insured by CMHC or not?","French Canadian","1,5,6,10"
"Necesito los recibos de todos los pagos realizados este año.","I need receipts for all payments made this year.","Spanish","7"
"¿Cómo puedo designar beneficiarios para mi RRSP?","How can I designate beneficiaries for my RRSP?","Spanish","5,10"
"Je n'ai jamais reçu confirmation de mon virement bancaire.","I never received confirmation of my wire transfer.","French Canadian","8"
"¿Cuánto cuesta hacer un giro bancario internacional en dólares estadounidenses?","How much does it cost to make an international money order in US dollars?","Spanish","9,10"
